Dates,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
05-11-2015 21:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,BAYVIEW,NONE,1500 Block of MCKINNON AV,-122.3883584,37.73530493
05-11-2015 21:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,NORTHERN,NONE,BUSH ST / POLK ST,-122.4203074,37.78869895
05-11-2015 21:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Monday,SOUTHERN,NONE,2ND ST / FOLSOM ST,-122.3967072,37.78554295
05-11-2015 20:55,SECONDARY CODES,ATM RELATED CRIME,Monday,TENDERLOIN,NONE,0 Block of POWELL ST,-122.4078454,37.78509432
05-11-2015 20:55,LARCENY/THEFT,GRAND THEFT FROM PERSON,Monday,TENDERLOIN,NONE,0 Block of POWELL ST,-122.4078454,37.78509432
05-11-2015 20:48,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Monday,TENDERLOIN,"ARREST, BOOKED",200 Block of TURK ST,-122.4132375,37.78284302
05-11-2015 20:45,WEAPON LAWS,POSS OF LOADED FIREARM,Monday,MISSION,"ARREST, BOOKED",MISSION ST / 19TH ST,-122.4192082,37.76023408
05-11-2015 20:45,WEAPON LAWS,EXHIBITING DEADLY WEAPON IN A THREATING MANNER,Monday,MISSION,"ARREST, BOOKED",MISSION ST / 19TH ST,-122.4192082,37.76023408
05-11-2015 20:36,OTHER OFFENSES,TRAFFIC VIOLATION,Monday,BAYVIEW,"ARREST, BOOKED",3RD ST / EVANS AV,-122.3879274,37.74270308
05-11-2015 20:35,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,NORTHERN,NONE,POLK ST / CALIFORNIA ST,-122.4206917,37.79057707
05-11-2015 20:33,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,MISSION,NONE,18TH ST / CASTRO ST,-122.4350029,37.76088781
05-11-2015 20:30,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,PARK,NONE,1700 Block of MCALLISTER ST,-122.4408795,37.77753219
05-11-2015 20:30,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,PARK,NONE,1100 Block of HAIGHT ST,-122.4412045,37.77079475
05-11-2015 20:19,WARRANTS,WARRANT ARREST,Monday,TENDERLOIN,"ARREST, BOOKED",100 Block of TURK ST,-122.4115931,37.78305295
05-11-2015 20:19,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Monday,TENDERLOIN,"ARREST, BOOKED",100 Block of TURK ST,-122.4115931,37.78305295
05-11-2015 20:15,BURGLARY,"BURGLARY, HOT PROWL, UNLAWFUL ENTRY",Monday,BAYVIEW,NONE,700 Block of KANSAS ST,-122.4030394,37.76024657
05-11-2015 20:15,ASSAULT,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP",Monday,TARAVAL,"ARREST, BOOKED",1500 Block of 24TH AV,-122.4820855,37.75864854
05-11-2015 20:10,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,TARAVAL,NONE,ULLOA ST / 46TH AV,-122.4701044,37.74142371
05-11-2015 20:05,LARCENY/THEFT,GRAND THEFT FROM PERSON,Monday,SOUTHERN,NONE,1ST ST / STEVENSON ST,-122.3985939,37.79056962
05-11-2015 20:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Monday,PARK,NONE,2600 Block of GEARY BL,-122.446613,37.78224582
05-11-2015 20:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,INGLESIDE,NONE,300 Block of COLERIDGE ST,-122.4214483,37.74091155
05-11-2015 20:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Monday,PARK,NONE,100 Block of CRESTMONT DR,-122.4592387,37.7553268
05-11-2015 20:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Monday,TARAVAL,NONE,300 Block of ASHTON AV,-122.4623492,37.72509921
05-11-2015 20:00,BURGLARY,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",Monday,PARK,NONE,1600 Block of GROVE ST,-122.4437959,37.77524304
05-11-2015 20:00,LARCENY/THEFT,GRAND THEFT FROM PERSON,Monday,TENDERLOIN,NONE,OFARRELL ST / MASON ST,-122.4096862,37.78620421
05-11-2015 20:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,PARK,NONE,FULTON ST / BRODERICK ST,-122.4398466,37.77664424
05-11-2015 20:00,ROBBERY,"ROBBERY, BODILY FORCE",Monday,INGLESIDE,NONE,CESAR CHAVEZ ST / HAMPSHIRE ST,-122.406759,37.74876723
05-11-2015 20:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,NORTHERN,NONE,WASHINGTON ST / FRANKLIN ST,-122.4245198,37.79284128
05-11-2015 19:55,OTHER OFFENSES,TRAFFIC VIOLATION,Monday,SOUTHERN,"ARREST, BOOKED",HARRISON ST / 10TH ST,-122.4112792,37.77157858
05-11-2015 19:45,FRAUD,"FALSE PRETENSES, GRAND THEFT",Monday,SOUTHERN,"ARREST, BOOKED",800 Block of MARKET ST,-122.4076335,37.78418935
05-11-2015 19:45,ASSAULT,BATTERY,Monday,MISSION,NONE,4000 Block of 18TH ST,-122.4344469,37.76086707
05-11-2015 19:45,FRAUD,"CREDIT CARD, THEFT OF",Monday,SOUTHERN,"ARREST, BOOKED",800 Block of MARKET ST,-122.4076335,37.78418935
05-11-2015 19:45,NON-CRIMINAL,"AIDED CASE, DOG BITE",Monday,INGLESIDE,NONE,0 Block of MANSFIELD ST,-122.4239603,37.72386865
05-11-2015 19:45,LARCENY/THEFT,THEFT FROM MERCHANT OR LIBRARY,Monday,SOUTHERN,"ARREST, BOOKED",800 Block of MARKET ST,-122.4076335,37.78418935
05-11-2015 19:44,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Monday,MISSION,NONE,TREAT AV / 18TH ST,-122.4140333,37.76215866
05-11-2015 19:32,WARRANTS,PROBATION SEARCH,Monday,SOUTHERN,UNFOUNDED,10TH ST / HARRISON ST,-122.4112792,37.77157858
05-11-2015 19:32,MISSING PERSON,FOUND PERSON,Monday,SOUTHERN,UNFOUNDED,10TH ST / HARRISON ST,-122.4112792,37.77157858
05-11-2015 19:32,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,SOUTHERN,UNFOUNDED,10TH ST / HARRISON ST,-122.4112792,37.77157858
05-11-2015 19:30,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,CENTRAL,NONE,700 Block of VALLEJO ST,-122.4097917,37.79850835
05-11-2015 19:30,LARCENY/THEFT,PETTY THEFT BICYCLE,Monday,MISSION,NONE,3500 Block of 17TH ST,-122.4251209,37.76315281
05-11-2015 19:30,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,RICHMOND,"ARREST, BOOKED",FULTON ST / 43RD AV,-122.5034712,37.77168767
05-11-2015 19:30,VEHICLE THEFT,STOLEN MOTORCYCLE,Monday,CENTRAL,NONE,STOCKTON ST / CALIFORNIA ST,-122.4075398,37.79224918
05-11-2015 19:30,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,NORTHERN,NONE,VANNESS AV / PINE ST,-122.4221395,37.78941076
05-11-2015 19:20,MISSING PERSON,FOUND PERSON,Monday,INGLESIDE,NONE,0 Block of WANDA ST,-122.4401405,37.72289296
05-11-2015 19:20,MISSING PERSON,MISSING ADULT,Monday,INGLESIDE,NONE,0 Block of WANDA ST,-122.4401405,37.72289296
05-11-2015 19:19,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,SOUTHERN,NONE,300 Block of 4TH ST,-122.3998338,37.78104322
05-11-2015 19:15,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Monday,SOUTHERN,NONE,900 Block of NATOMA ST,-122.4155672,37.77403392
05-11-2015 19:15,LARCENY/THEFT,PETTY THEFT BICYCLE,Monday,SOUTHERN,NONE,900 Block of NATOMA ST,-122.4155672,37.77403392
05-11-2015 19:15,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,CENTRAL,NONE,2300 Block of STOCKTON ST,-122.4105247,37.80744512
05-11-2015 19:15,ASSAULT,BATTERY,Monday,BAYVIEW,NONE,FAIRFAX AV / KEITH ST,-122.3815608,37.73812418
05-11-2015 19:15,ROBBERY,ATTEMPTED ROBBERY RESIDENCE WITH BODILY FORCE,Monday,BAYVIEW,NONE,FAIRFAX AV / KEITH ST,-122.3815608,37.73812418
05-11-2015 19:10,BURGLARY,"BURGLARY, HOT PROWL, UNLAWFUL ENTRY",Monday,TARAVAL,NONE,2400 Block of 19TH AV,-122.4754586,37.7421055
05-11-2015 19:07,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Monday,BAYVIEW,"ARREST, BOOKED",1300 Block of THOMAS AV,-122.3865942,37.72781834
05-11-2015 19:07,WEAPON LAWS,POSS OF FIREARM BY CONVICTED FELON/ADDICT/ALIEN,Monday,BAYVIEW,"ARREST, BOOKED",1300 Block of THOMAS AV,-122.3865942,37.72781834
05-11-2015 19:07,WEAPON LAWS,POSS OF LOADED FIREARM,Monday,BAYVIEW,"ARREST, BOOKED",1300 Block of THOMAS AV,-122.3865942,37.72781834
05-11-2015 19:07,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Monday,BAYVIEW,"ARREST, BOOKED",1300 Block of THOMAS AV,-122.3865942,37.72781834
05-11-2015 19:07,LARCENY/THEFT,GRAND THEFT SHOPLIFTING,Monday,SOUTHERN,NONE,700 Block of MARKET ST,-122.4039191,37.7871161
05-11-2015 19:07,WEAPON LAWS,"FIREARM, LOADED, IN VEHICLE, POSSESSION OR USE",Monday,BAYVIEW,"ARREST, BOOKED",1300 Block of THOMAS AV,-122.3865942,37.72781834
05-11-2015 19:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,CENTRAL,NONE,2300 Block of STOCKTON ST,-122.4105247,37.80744512
05-11-2015 19:00,BURGLARY,"BURGLARY OF STORE, FORCIBLE ENTRY",Monday,MISSION,NONE,3900 Block of 24TH ST,-122.4307837,37.75144796
05-11-2015 19:00,BURGLARY,"BURGLARY, FORCIBLE ENTRY",Monday,MISSION,NONE,3400 Block of 26TH ST,-122.4190004,37.74904383
05-11-2015 19:00,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Monday,PARK,NONE,1400 Block of FULTON ST,-122.4406711,37.77648328
05-11-2015 19:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,INGLESIDE,NONE,300 Block of PRECITA AV,-122.4124638,37.74729205
05-11-2015 19:00,OTHER OFFENSES,TRAFFIC VIOLATION,Monday,MISSION,"ARREST, BOOKED",VALENCIA ST / CUNNINGHAM PL,-122.4213554,37.75937227
05-11-2015 19:00,LARCENY/THEFT,GRAND THEFT FROM PERSON,Monday,MISSION,NONE,BRYANT ST / 19TH ST,-122.4099973,37.76048534
05-11-2015 19:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,PARK,NONE,LYON ST / GOLDEN GATE AV,-122.4435079,37.77808926
05-11-2015 19:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,CENTRAL,NONE,JONES ST / FILBERT ST,-122.4159472,37.80054586
05-11-2015 18:59,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,TARAVAL,UNFOUNDED,19TH AV / TARAVAL ST,-122.4756443,37.74305055
05-11-2015 18:59,OTHER OFFENSES,VIOLATION OF MUNICIPAL CODE,Monday,TARAVAL,"ARREST, BOOKED",28TH AV / LAWTON ST,-122.4863816,37.75753885
05-11-2015 18:59,NON-CRIMINAL,AIDED CASE,Monday,TARAVAL,"ARREST, BOOKED",28TH AV / LAWTON ST,-122.4863816,37.75753885
05-11-2015 18:58,WEAPON LAWS,CARRYING A CONCEALED WEAPON,Monday,INGLESIDE,"ARREST, BOOKED",0 Block of SENECA AV,-122.4404618,37.71802736
05-11-2015 18:58,WEAPON LAWS,POSS OF LOADED FIREARM,Monday,INGLESIDE,"ARREST, BOOKED",0 Block of SENECA AV,-122.4404618,37.71802736
05-11-2015 18:58,FAMILY OFFENSES,MINOR WITHOUT PROPER PARENTAL CARE,Monday,INGLESIDE,"ARREST, BOOKED",4900 Block of MISSION ST,-122.4386951,37.71969203
05-11-2015 18:58,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Monday,INGLESIDE,"ARREST, BOOKED",4900 Block of MISSION ST,-122.4386951,37.71969203
05-11-2015 18:50,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,RICHMOND,NONE,700 Block of 7TH AV,-122.4649447,37.77438417
05-11-2015 18:40,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,SOUTHERN,NONE,8TH ST / MINNA ST,-122.4126203,37.77702593
05-11-2015 18:30,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,CENTRAL,NONE,1200 Block of THE EMBARCADERONORTH ST,-122.4043871,37.80607839
05-11-2015 18:30,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,PARK,NONE,2400 Block of OFARRELL ST,-122.4447555,37.78163133
05-11-2015 18:30,FRAUD,FRAUDULENT CREDIT APPLICATION,Monday,TARAVAL,NONE,200 Block of MIRAMAR AV,-122.4582596,37.72401558
05-11-2015 18:30,OTHER OFFENSES,FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY,Monday,TARAVAL,NONE,200 Block of MIRAMAR AV,-122.4582596,37.72401558
05-11-2015 18:27,WARRANTS,ENROUTE TO PAROLE OFFICER,Monday,BAYVIEW,"ARREST, BOOKED",1100 Block of FITZGERALD AV,-122.3903603,37.72050646
05-11-2015 18:27,WARRANTS,WARRANT ARREST,Monday,BAYVIEW,"ARREST, BOOKED",1100 Block of FITZGERALD AV,-122.3903603,37.72050646
05-11-2015 18:24,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.4034048,37.77542071
05-11-2015 18:20,LARCENY/THEFT,GRAND THEFT FROM PERSON,Monday,TARAVAL,NONE,200 Block of WINSTON DR,-122.4779767,37.72693464
05-11-2015 18:19,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Monday,SOUTHERN,NONE,1500 Block of HOWARD ST,-122.4166673,37.77212328
05-11-2015 18:18,ASSAULT,BATTERY,Monday,MISSION,NONE,2600 Block of BRYANT ST,-122.4089834,37.75198704
05-11-2015 18:18,SECONDARY CODES,DOMESTIC VIOLENCE,Monday,MISSION,NONE,2600 Block of BRYANT ST,-122.4089834,37.75198704
05-11-2015 18:18,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Monday,MISSION,NONE,2600 Block of BRYANT ST,-122.4089834,37.75198704
05-11-2015 18:15,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,NORTHERN,NONE,GEARY BL / FILLMORE ST,-122.4329146,37.78435334
05-11-2015 18:02,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Monday,SOUTHERN,"ARREST, BOOKED",0 Block of DORE ST,-122.4129331,37.77392745
05-11-2015 18:02,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Monday,SOUTHERN,"ARREST, BOOKED",0 Block of DORE ST,-122.4129331,37.77392745
05-11-2015 18:02,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Monday,SOUTHERN,"ARREST, BOOKED",0 Block of DORE ST,-122.4129331,37.77392745
05-11-2015 18:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,CENTRAL,NONE,2300 Block of STOCKTON ST,-122.4105247,37.80744512
05-11-2015 18:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Monday,INGLESIDE,NONE,300 Block of MADISON ST,-122.4221604,37.72477981
05-11-2015 18:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Monday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.4034048,37.77542071
05-11-2015 18:00,SEX OFFENSES FORCIBLE,SEXUAL BATTERY,Monday,PARK,NONE,1900 Block of GEARY BL,-122.4361973,37.78378829
05-11-2015 18:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,RICHMOND,NONE,600 Block of 47TH AV,-122.508194,37.77660126
05-11-2015 18:00,OTHER OFFENSES,"TRAFFIC COLLISION, HIT & RUN, INJURY",Monday,CENTRAL,NONE,LEAVENWORTH ST / POST ST,-122.4149967,37.78745307
05-11-2015 18:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,MISSION,NONE,SAN JOSE AV / 26TH ST,-122.4212874,37.7488499
05-11-2015 18:00,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Monday,SOUTHERN,NONE,5TH ST / MISSION ST,-122.406482,37.78273179
05-11-2015 18:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,SOUTHERN,NONE,10TH ST / HARRISON ST,-122.4112792,37.77157858
05-11-2015 17:59,MISSING PERSON,MISSING JUVENILE,Monday,BAYVIEW,NONE,NEWHALL ST / HUDSON AV,-122.388275,37.74004674
05-11-2015 17:59,MISSING PERSON,FOUND PERSON,Monday,BAYVIEW,NONE,NEWHALL ST / HUDSON AV,-122.388275,37.74004674
05-11-2015 17:50,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,INGLESIDE,NONE,2900 Block of ALEMANY BL,-122.4526193,37.71168739
05-11-2015 17:45,FORGERY/COUNTERFEITING,"COUNTERFEITING, COINS OR NOTES",Monday,SOUTHERN,"ARREST, BOOKED",800 Block of MARKET ST,-122.406521,37.78506294
05-11-2015 17:45,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Monday,SOUTHERN,NONE,1300 Block of HOWARD ST,-122.4141202,37.7741613
05-11-2015 17:44,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Monday,MISSION,"ARREST, BOOKED",NATOMA ST / 15TH ST,-122.4054679,37.78192411
05-11-2015 17:44,SECONDARY CODES,GANG ACTIVITY,Monday,MISSION,"ARREST, BOOKED",NATOMA ST / 15TH ST,-122.4054679,37.78192411
05-11-2015 17:44,WEAPON LAWS,CARRYING A CONCEALED WEAPON,Monday,MISSION,"ARREST, BOOKED",NATOMA ST / 15TH ST,-122.4054679,37.78192411
05-11-2015 17:41,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Monday,BAYVIEW,NONE,1700 Block of REVERE AV,-122.3927758,37.73307817
05-11-2015 17:35,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,TARAVAL,NONE,8TH AV / MORAGA ST,-122.4647193,37.75663012
05-11-2015 17:30,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,INGLESIDE,NONE,900 Block of PORTOLA DR,-122.4554234,37.7425307
05-11-2015 17:30,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,CENTRAL,NONE,400 Block of CALIFORNIA ST,-122.4015481,37.79295092
05-11-2015 17:30,VEHICLE THEFT,STOLEN MOTORCYCLE,Monday,SOUTHERN,NONE,0 Block of FREELON ST,-122.3964115,37.77918761
05-11-2015 17:30,LARCENY/THEFT,PETTY THEFT BICYCLE,Monday,MISSION,NONE,18TH ST / CHURCH ST,-122.4283554,37.76125771
05-11-2015 17:19,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,PARK,NONE,DEWEY BL / LAGUNAHONDA BL,-122.4591724,37.74728668
05-11-2015 17:11,ASSAULT,BATTERY,Monday,SOUTHERN,NONE,MARKET ST / 11TH ST,-122.4186983,37.77558941
05-11-2015 17:10,ASSAULT,ATTEMPTED HOMICIDE WITH A GUN,Monday,INGLESIDE,NONE,1800 Block of SUNNYDALE AV,-122.4171448,37.71215029
05-11-2015 17:10,NON-CRIMINAL,SEARCH WARRANT SERVICE,Monday,INGLESIDE,NONE,1800 Block of SUNNYDALE AV,-122.4171448,37.71215029
05-11-2015 17:08,LARCENY/THEFT,GRAND THEFT SHOPLIFTING,Monday,SOUTHERN,"ARREST, BOOKED",800 Block of MARKET ST,-122.4076335,37.78418935
05-11-2015 17:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Monday,TARAVAL,NONE,100 Block of WESTPORTAL AV,-122.4681175,37.73890001
05-11-2015 17:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Monday,BAYVIEW,NONE,1500 Block of REVERE AV,-122.3892863,37.73109989
05-11-2015 17:00,ASSAULT,BATTERY,Monday,TENDERLOIN,NONE,0 Block of POWELL ST,-122.4078454,37.78509432
05-11-2015 17:00,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Monday,MISSION,NONE,2300 Block of 16TH ST,-122.4095299,37.76571844
05-11-2015 17:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,PARK,NONE,1600 Block of MCALLISTER ST,-122.4392229,37.77774275
05-11-2015 17:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,RICHMOND,NONE,0 Block of 5TH AV,-122.4636197,37.78770587
05-11-2015 17:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,NORTHERN,NONE,LARKIN ST / UNION ST,-122.4206907,37.79896889
05-11-2015 17:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,NORTHERN,NONE,BUCHANAN ST / OAK ST,-122.4275473,37.77438749
05-11-2015 16:55,ASSAULT,BATTERY,Monday,SOUTHERN,"ARREST, BOOKED",9TH ST / MISSION ST,-122.4147143,37.77623104
05-11-2015 16:30,ASSAULT,BATTERY,Monday,TENDERLOIN,NONE,100 Block of EDDY ST,-122.4101352,37.78418891
05-11-2015 16:30,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,BAYVIEW,NONE,800 Block of CHINABASIN ST,-122.386775,37.76537752
05-11-2015 16:20,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Monday,CENTRAL,NONE,100 Block of CALIFORNIA ST,-122.3981953,37.79337819
05-11-2015 16:15,VEHICLE THEFT,STOLEN TRUCK,Monday,INGLESIDE,NONE,1700 Block of SUNNYDALE AV,-122.4171448,37.71215029
05-11-2015 16:00,OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Monday,BAYVIEW,NONE,1200 Block of MARIPOSA ST,-122.3961676,37.76382349
05-11-2015 16:00,FRAUD,"CREDIT CARD, THEFT BY USE OF",Monday,CENTRAL,NONE,900 Block of KEARNY ST,-122.405284,37.79655105
05-11-2015 16:00,MISSING PERSON,MISSING JUVENILE,Monday,SOUTHERN,NONE,0 Block of MOSS ST,-122.4079992,37.77782417
05-11-2015 16:00,KIDNAPPING,CHILD STEALING,Monday,INGLESIDE,NONE,100 Block of STONERIDGE LN,-122.4262221,37.71001904
05-11-2015 16:00,MISSING PERSON,FOUND PERSON,Monday,SOUTHERN,NONE,0 Block of MOSS ST,-122.4079992,37.77782417
05-11-2015 16:00,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Monday,RICHMOND,"ARREST, BOOKED",6100 Block of FULTON ST,-122.4965054,37.77195265
05-11-2015 16:00,OTHER OFFENSES,PROBATION VIOLATION,Monday,RICHMOND,"ARREST, BOOKED",6100 Block of FULTON ST,-122.4965054,37.77195265
05-11-2015 16:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Monday,RICHMOND,NONE,3700 Block of CLEMENT ST,-122.4993421,37.78129688
05-11-2015 16:00,OTHER OFFENSES,FALSE PERSONATION,Monday,CENTRAL,NONE,900 Block of KEARNY ST,-122.405284,37.79655105
05-11-2015 16:00,BURGLARY,"BURGLARY, VEHICLE (ARREST MADE)",Monday,RICHMOND,"ARREST, BOOKED",6100 Block of FULTON ST,-122.4965054,37.77195265
05-11-2015 16:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,MISSION,NONE,SAN JOSE AV / 23RD ST,-122.4215191,37.75366149
05-11-2015 16:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,CENTRAL,NONE,BUSH ST / MARK LN,-122.4047716,37.79066776
05-11-2015 15:50,NON-CRIMINAL,COURTESY REPORT,Monday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.4034048,37.77542071
05-11-2015 15:50,ASSAULT,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP",Monday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.4034048,37.77542071
05-11-2015 15:50,ASSAULT,FALSE IMPRISONMENT,Monday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.4034048,37.77542071
05-11-2015 15:45,LARCENY/THEFT,GRAND THEFT SHOPLIFTING,Monday,CENTRAL,NONE,400 Block of WASHINGTON ST,-122.4007866,37.79577999
05-11-2015 15:44,SECONDARY CODES,DOMESTIC VIOLENCE,Monday,MISSION,NONE,3100 Block of CESAR CHAVEZ ST,-122.4126011,37.74837696
05-11-2015 15:44,ASSAULT,THREATS AGAINST LIFE,Monday,MISSION,NONE,3100 Block of CESAR CHAVEZ ST,-122.4126011,37.74837696
05-11-2015 15:30,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Monday,TARAVAL,NONE,900 Block of HOLLOWAY AV,-122.4631316,37.72163421
05-11-2015 15:30,LARCENY/THEFT,ATTEMPTED THEFT FROM A BUILDING,Monday,TARAVAL,NONE,1500 Block of TARAVAL ST,-122.4826711,37.74279814
05-11-2015 15:30,MISSING PERSON,MISSING JUVENILE,Monday,SOUTHERN,NONE,100 Block of BERRY ST,-122.3923085,37.77669228
05-11-2015 15:20,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Monday,CENTRAL,NONE,2200 Block of LEAVENWORTH ST,-122.4178548,37.80196979
05-11-2015 15:10,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Monday,BAYVIEW,NONE,300 Block of KANSAS ST,-122.4036529,37.76535366
05-11-2015 15:09,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,MISSION,NONE,3000 Block of 16TH ST,-122.4200705,37.764972
05-11-2015 15:00,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Monday,CENTRAL,NONE,400 Block of GEARY ST,-122.4106997,37.78698819
05-11-2015 15:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,BAYVIEW,NONE,900 Block of PENNSYLVANIA AV,-122.3927443,37.75436176
05-11-2015 15:00,VEHICLE THEFT,STOLEN MOTORCYCLE,Monday,NORTHERN,NONE,300 Block of IVY ST,-122.4239222,37.77729679
05-11-2015 15:00,NON-CRIMINAL,LOST PROPERTY,Monday,PARK,NONE,300 Block of LAGUNAHONDA BL,-122.4586802,37.74815547
05-11-2015 15:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,NORTHERN,NONE,MCALLISTER ST / FRANKLIN ST,-122.4218931,37.77989123
05-11-2015 14:51,STOLEN PROPERTY,"STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING",Monday,SOUTHERN,"ARREST, BOOKED",MINNA ST / 5TH ST,-122.4059343,37.78229564
05-11-2015 14:51,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Monday,SOUTHERN,"ARREST, BOOKED",MINNA ST / 5TH ST,-122.4059343,37.78229564
05-11-2015 14:51,OTHER OFFENSES,POSSESSION OF BURGLARY TOOLS,Monday,SOUTHERN,"ARREST, BOOKED",MINNA ST / 5TH ST,-122.4059343,37.78229564
05-11-2015 14:49,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,SOUTHERN,"ARREST, BOOKED",1500 Block of MISSION ST,-122.4179754,37.77375094
